===== 安全依恋环境：前20年发展轨迹 =====
t=2.00 | E=416.3683 | R=11941.0123 | M=476.8914 | S=43.4979 | A=11936.5333
t=4.00 | E=289.4455 | R=98705.0090 | M=305.1741 | S=107.3950 | A=98665.6975
t=6.00 | E=354.8378 | R=166910.9170 | M=361.5674 | S=170.2838 | A=166843.7020
t=8.00 | E=445.9031 | R=228578.4504 | M=450.0339 | S=235.5465 | A=228485.5887
t=10.00 | E=548.4438 | R=286294.1805 | M=552.2343 | S=304.4700 | A=286176.5354
t=12.00 | E=658.1043 | R=341221.2011 | M=662.5679 | S=376.9422 | A=341079.4474
t=14.00 | E=772.5836 | R=394016.0767 | M=778.7250 | S=453.2162 | A=393850.7976
t=16.00 | E=891.7557 | R=445097.2127 | M=899.6073 | S=533.7078 | A=444909.0256
t=18.00 | E=1014.9112 | R=494753.4015 | M=1024.9512 | S=617.8251 | A=494543.5794
t=20.00 | E=1141.0146 | R=543195.3986 | M=1154.2769 | S=706.0908 | A=542964.5759

===== 非安全依恋环境：前20年发展轨迹 =====
t=2.00 | E=-3.3734 | R=-3.6497 | M=-3.6228 | S=-3.8993 | A=-3.6521
t=4.00 | E=4.4163 | R=-0.4226 | M=6.3800 | S=1.7468 | A=2.7487
t=6.00 | E=3.8007 | R=-1.8675 | M=7.6115 | S=-0.6794 | A=3.4519
t=8.00 | E=8.7088 | R=-8.2147 | M=6.2687 | S=-11.3176 | A=8.8240
t=10.00 | E=25.0491 | R=-17.4741 | M=3.5838 | S=-27.3413 | A=22.0234
t=12.00 | E=31.9836 | R=-29.0029 | M=-5.0598 | S=-48.1287 | A=29.0117
t=14.00 | E=32.8838 | R=-42.7550 | M=-18.7623 | S=-73.4949 | A=32.5589
t=16.00 | E=47.3346 | R=-59.1395 | M=-37.0940 | S=-102.9554 | A=45.9978
t=18.00 | E=59.6829 | R=-78.2922 | M=-59.5617 | S=-137.0005 | A=58.7656
t=20.00 | E=77.0195 | R=-99.9574 | M=-86.2431 | S=-174.9973 | A=76.2050
